constSize,unoptimized_time,numSolutions,optimized_time
1,0.832,4,0.551
2,1.619,7,0.99
4,4.221,25,3.992
8,11.676,101,28.644
16,32.055,381,161.904
32,89.625,1397,1389.996
64,437.82,5477,22980.046
